hanzi	pinyin	pos	hsk30	translation
爸	bà	N	1	отец, папа
白天	báitiān	N	1	днём, среди бела дня, дневное время
半年	bànnián		1	полгода; полугодие
半天	bàntiān		1	половина дня; полдня
帮	bāng	V	1	помогать, содействовать; пособлять
杯	bēi	M	1	чашка; чайная чашка; винная чарка, кубок
北	běi	N	1	север; направляться на север; на север
北边	běibian	N	1	север; северная сторона; районы севера
本子	běnzi	N	1	тетрадь; книга; том, тетрадь
别的	biéde	Pron	1	другой, иной, прочий; отдельный, особый
病	bìng	N/V	1	болезнь; болеть
病人	bìngrén	N	1	больной, пациент
不大	bùdà		1	небольшой, незначительный; не очень
不对	bùduì	Adj	1	неверно, неправильно, не так
不用	bùyòng	Adv	1	незачем, ни к чему, не надо, не стоит
常	cháng	Adv	1	часто; обычно
常常	chángcháng	Adv	1	часто; регулярно, постоянно
唱	chàng	V	1	петь; вести мелодию; запевать
车	chē	N	1	машина; повозка; транспорт
车票	chēpiào	N	1	проездной билет
车上	chēshang		1	в машине; в транспорте
车站	chēzhàn	N	1	станция, остановка, вокзал
吃饭	chīfàn		1	кушать, есть; поддерживать существование
出来	chūlái		1	выходить наружу; восходить; вылезать
出去	chūqù		1	выходить; выйти; вон!
床	chuáng	N	1	кровать, койка, лежанка; нары, ложе, одр
打	dǎ / dá	V/M/Prep	1	бить; играть (в мяч); делать
打车	dǎchē		1	взять такси; голосовать на дороге
打开	dǎkāi		1	открыть, распахнуть, раскрыть, отворить
打球	dǎqiú		1	играть в мяч
大学	dàxué	N	1	высшее учебное заведение, университет
大学生	dàxuéshēng	N	1	студент
得到	dédào		1	получить, обрести, добиться; извлечь
地点	dìdiǎn	N	1	пункт; точка; место
地上	dìshang		1	на земле; наземный; на полу
弟	dì	N	1	младший брат; младший
第	dì	Prefix	1	префикс порядковых числительных (第一, 第二)
第二	dìèr	Num	1	второй; во-вторых; второстепенный
电	diàn	N	1	электричество; электрический
电话	diànhuà	N	1	телефон; телефонный
电视机	diànshìjī	N	1	телевизор, телевизионный приёмник
电影院	diànyǐngyuàn	N	1	кинотеатр
东边	dōngbian	N	1	восточная сторона; восток; на востоке
动	dòng	V	1	двигаться, передвигаться, перемещаться
读书	dúshū		1	читать; учиться; заниматься
饭	fàn	N	1	еда, пища; кушанье; стол; варёный рис
饭店	fàndiàn	N	1	гостиница, отель; ресторан, столовая
房子	fángzi	N	1	дом, здание; комната, помещение; фанза
放假	fàngjià		1	отпуск, каникулы; распускать на каникулы
放学	fàngxué		1	закончить занятия, отпустить учеников
飞	fēi	V	1	летать; лететь
风	fēng	N	1	ветер; обычай, нравы; традиция
干什么	gànshénme		1	зачем?, для чего?; по какой причине?
哥	gē	N	1	старший брат
歌	gē	N	1	песня; петь
关上	guānshang		1	закрыть, запереть; выключить
国	guó	N	1	страна, государство, держава, государственный
国外	guówài		1	вне страны
还有	háiyǒu		1	ещё, ещё имеется, ещё есть
汉字	Hànzì	N	1	китайская письменность
好看	hǎokàn	Adj	1	приятный, красивый; хорошо выглядеть
好听	hǎotīng	Adj	1	мелодичный, благозвучный; приятный
好玩儿	hǎowánr	Adj	1	забавный, интересный; занимательный
后	hòu	N	1	после; позади; задний
后边	hòubian	N	1	задняя сторона; задняя грань
后天	hòutiān	N	1	послезавтра
话	huà	N	1	слова, выражения; высказывание, фраза
回到	huídào	V	1	возвратиться, вернуться
回家	huíjiā		1	возвращаться домой
回来	huílái		1	вернуться, возвратиться; назад!
回去	huíqù		1	возвратиться, вернуться; уйти домой
火车	huǒchē	N	1	поезд, железнодорожный состав
机票	jīpiào	N	1	билет на самолёт, авиабилет
记	jì	V	1	сохранять в памяти, помнить; припоминать
记住	jìzhù		1	запоминать, сохранять в памяти
家里	jiāli		1	в доме, дома; в семье; внутренняя часть
家人	jiārén	N	1	члены семьи, домашние
间	jiān	M	1	сч. слово для комнат; между; комната
见	jiàn	V	1	видеть; встречаться
教学楼	jiàoxuélóu	N	1	учебное здание, учебный корпус
姐	jiě	N	1	старшая сестра
今年	jīnnián	N	1	в этом году, этот год, в текущем году
进来	jìnlái		1	входить; войдите!; глагольный суффикс
进去	jìnqù		1	входить; глагольный суффикс
开车	kāichē		1	вести машину, ехать на машине; вождение
开会	kāihuì		1	открыть собрание; проводить собрание
看病	kànbìng		1	идти к врачу; лечить
看到	kàndào		1	увидеть; заметить
考	kǎo	V	1	сдавать экзамен; экзаменовать
课本	kèběn	N	1	учебник
课文	kèwén	N	1	текст к уроку; текст учебника; сочинение
来到	láidào	V	1	настать, наступить; прибыть, приходить
老人	lǎorén	N	1	пожилой человек, старик, старец
里边	lǐbian	N	1	внутри; внутренняя сторона
〇	líng	Num	1	нуль
楼上	lóushàng		1	верхний этаж; на верхнем этаже, наверху
楼下	lóuxià		1	внизу; нижний этаж
路口	lùkǒu	N	1	перекрёсток; начало улицы; конец улицы
路上	lùshang	N	1	на дороге; на улице; в пути, в дороге
妈	mā	N	1	мама, мать; няня, мамка, служанка
马路	mǎlù	N	1	проезжая дорога; мостовая; улица
没什么	méishénme		1	не имеет значения, не принципиально
没事儿	méishìr		1	ничего страшного; свободен, нет дел
没有	méiyǒu	V/Adv	1	не иметь, не обладать, нет, не имеется
妹	mèi	N	1	младшая сестра; сестричка, сестрёнка
门口	ménkǒu	N	1	дверной проем, вход; выход; подъезд
门票	ménpiào	N	1	входной билет
们	men	Suffix	1	суффикс множественного числа (我们, 朋友们)
朋友们	péngyoumen	N	1	друзья
面条儿	miàntiáor	N	1	лапша, вермишель
明年	míngnián	N	1	следующий год, будущий год
哪里	nǎlǐ	Pron	1	где, куда, откуда
哪儿	nǎr	Pron	1	где?, куда?
哪些	nǎxiē	Pron	1	которые; какие
那边	nàbiān	Pron	1	там; туда; та сторона
那里	nàlǐ	Pron	1	там; туда; тогда, то время, тот период
那儿	nàr	Pron	1	там; туда; тогда, то время, тот период
那些	nàxiē	Pron	1	те; эти
奶	nǎi	N	1	молоко; грудь; бабушка
男	nán	Adj	1	мужчина; мужской
男孩儿	nánháir	N	1	мальчик
男朋友	nánpéngyou	N	1	парень, бойфренд
男生	nánshēng	N	1	ученик; студент; парень
南边	nánbian	N	1	юг; южная сторона; районы юга; на юге
你们	nǐmen	Pron	1	вы
女	nǚ	Adj	1	женщина; женский
女孩儿	nǚháir	N	1	девочка, девчонка; дочка
女朋友	nǚpéngyou	N	1	девушка, подруга
女生	nǚshēng	N	1	ученица; студентка; девушка
跑	pǎo	V	1	бегать; бежать, нестись; ехать мчаться
起	qǐ	V	1	подниматься, вставать на ноги, выпрямляться
汽车	qìchē	N	1	автомобиль, автомашина; авто
前	qián	N	1	перед; впереди; прежний
前边	qiánbian	N	1	передний край; перёд; впереди
前天	qiántiān	N	1	позавчера; третьего дня
钱包	qiánbāo	N	1	кошелёк, портмоне
请进	qǐngjìn		1	Входите!; приглашать
请问	qǐngwèn	V	1	позвольте спросить; скажите, пожалуйста
请坐	qǐngzuò		1	просить сесть; прошу садиться
球	qiú	N	1	мяч; шар
肉	ròu	N	1	мясо; мясной; сорта мяса; мякоть
山	shān	N	1	гора; гористый; горный
商场	shāngchǎng	N	1	торговый центр, пассаж, универмаг
上边	shàngbian	N	1	верх, верхняя сторона; наверху; впереди
上车	shàngchē		1	садиться в машину, садиться в экипаж
上次	shàngcì		1	в прошлый раз; предыдущий
上课	shàngkè		1	ходить на занятия, посещать школу, учиться
上学	shàngxué		1	ходить в школу, ходить на занятия
身上	shēnshang	N	1	тело, корпус; на теле; при себе, с собой
事	shì	N	1	дело; событие
是不是	shìbushì		1	вопросительная связка есть ли?, является ли?
手	shǒu	N	1	рука, кисть руки, ладонь, руки; рука
书包	shūbāo	N	1	портфель для книг, школьный ранец
书店	shūdiàn	N	1	книжный магазин, книжная лавка, книготорговля
睡	shuì	V	1	спать; уснуть, засыпать, ночевать
说	shuō	V	1	говорить, разговаривать, беседовать
他们	tāmen	Pron	1	они; их
她们	tāmen	Pron	1	они
天	tiān	N/M	1	небо; день
听到	tīngdào		1	услышать; дослушать до
听见	tīngjiàn		1	слышать; услышать
听写	tīngxiě	V	1	писать под диктовку; диктант
外边	wàibian	N	1	внешняя сторона; поверхность; край
外国	wàiguó	N	1	иностранное государство, зарубежные страны
外语	wàiyǔ	N	1	иностранный язык
玩儿	wánr	V	1	играть, развлекаться; шутить
晚	wǎn	Adj	1	поздний, запоздалый
晚饭	wǎnfàn	N	1	ужин
网上	wǎngshang		1	интернет; онлайн, в сети; на сайте
网友	wǎngyǒu	N	1	друг в Интернете, сетевой друг, френд
忘	wàng	V	1	забывать; не помнить; упускать
午饭	wǔfàn	N	1	обед, полдник
西边	xībian	N	1	западная сторона, запад; на западе
下班	xiàbān		1	смениться с работы; смена
下边	xiàbian	N	1	низ; внизу, снизу, ниже; нижний
下车	xiàchē		1	слезть с экипажа; сойти с поезда
下次	xiàcì		1	в следующий раз; последующий
下课	xiàkè		1	закончить занятия, уйти по окончании уроков
小孩儿	xiǎoháir	N	1	ребёнок, дитя, кроха, младенец
小朋友	xiǎopéngyǒu	N	1	ребёнок; дружок, малыш
小学	xiǎoxué	N	1	начальная школа, начальное образование
小学生	xiǎoxuéshēng	N	1	школьник, ученик начальной школы
新年	xīnnián	N	1	Новый год
星期日	xīngqīrì	N	1	воскресенье
星期天	xīngqītiān	N	1	воскресенье
学	xué	V	1	овладевать; осваивать; учиться
学院	xuéyuàn	N	1	академия, институт, колледж, училище
一半	yībàn	Num	1	половина; пополам, наполовину; половинка
一块儿	yīkuàir	N/Adv	1	вместе; совместно; в одном месте
一下儿	yīxiàr	Adv	1	разок; немного, слегка
一点儿	yīdiǎnr		1	немного, некоторое количество
一些	yīxiē		1	немного, несколько, некоторые
有的	yǒude	Pron	1	некоторые; кое-кто
有时候	yǒushíhou	Adv	1	время от времени, от случая к случаю
有时	yǒushí	Adv	1	время от времени, от случая к случаю
有些	yǒuxiē	Pr	1	некоторые; немного; несколько, чуть-чуть
有一些	yǒuyīxiē	Pr	1	некоторые; немного; несколько, чуть-чуть
有用	yǒuyòng	V	1	полезный
右	yòu	N	1	правая рука; справа, направо; запад
雨	yǔ	N	1	дождь
在家	zàijiā	V	1	быть дома; дома, на дому; дома
早	zǎo	Adj	1	ранний; рано, спозаранку
早饭	zǎofàn	N	1	завтрак
找到	zhǎodào		1	найти
这边	zhèbiān	Pron	1	здесь, тут; на этой стороне
这里	zhèlǐ	Pron	1	тут, здесь; сюда; здешний
这儿	zhèr	Pron	1	здесь, тут; сюда
这些	zhèxiē	Pron	1	эти
